canonical_key,name,type,category,category_label,primary_muscle,primary_muscle_label,difficulty,equipments,instructions,safety_info,language,source,active
"fitos:rosca-martelo","Rosca martelo","strength","pesos_livres","Pesos livres","biceps","Bíceps","intermediario","halteres","Prepare o equipamento e assuma uma base estável. Execute rosca martelo com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-martelo-inclinada","Rosca martelo inclinada","strength","pesos_livres","Pesos livres","biceps","Bíceps","iniciante","halteres|banco inclinado","Prepare o equipamento e assuma uma base estável. Execute rosca martelo inclinada com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-scott-com-barra-w","Rosca Scott com barra W","strength","pesos_livres","Pesos livres","biceps","Bíceps","intermediario","barra W|banco Scott","Prepare o equipamento e assuma uma base estável. Execute rosca scott com barra w com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-scott-na-maquina","Rosca Scott na máquina","strength","maquinas","Máquinas e aparelhos","biceps","Bíceps","iniciante","máquina Scott","Ajuste o equipamento ao seu corpo e selecione uma carga adequada. Estabilize o tronco, execute rosca scott na máquina na amplitude confortável e retorne lentamente, mantendo o controle durante todo o movimento.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-unilateral-no-cabo","Rosca unilateral no cabo","strength","cabos","Cabos e polias","biceps","Bíceps","intermediario","polia baixa","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute rosca unilateral no cabo sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rosca-zottman","Rosca Zottman","strength","pesos_livres","Pesos livres","biceps","Bíceps","intermediario","halteres","Prepare o equipamento e assuma uma base estável. Execute rosca zottman com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:abdominal-bicicleta","Abdominal bicicleta","strength","peso_corporal","Peso corporal","core","Core","iniciante","colchonete","Posicione o corpo de forma estável para abdominal bicicleta. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:abdominal-na-maquina","Abdominal na máquina","strength","maquinas","Máquinas e aparelhos","core","Core","iniciante","máquina abdominal","Ajuste o equipamento ao seu corpo e selecione uma carga adequada. Estabilize o tronco, execute abdominal na máquina na amplitude confortável e retorne lentamente, mantendo o controle durante todo o movimento.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:abdominal-no-cabo-ajoelhado","Abdominal no cabo ajoelhado","strength","cabos","Cabos e polias","core","Core","intermediario","polia alta|corda","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute abdominal no cabo ajoelhado sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:abdominal-reverso","Abdominal reverso","strength","peso_corporal","Peso corporal","core","Core","iniciante","colchonete","Posicione o corpo de forma estável para abdominal reverso. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:abdominal-supra","Abdominal supra","strength","peso_corporal","Peso corporal","core","Core","iniciante","colchonete","Posicione o corpo de forma estável para abdominal supra. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:bird-dog","Bird dog","strength","peso_corporal","Peso corporal","core","Core","iniciante","colchonete","Posicione o corpo de forma estável para bird dog. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:dead-bug","Dead bug","strength","peso_corporal","Peso corporal","core","Core","iniciante","colchonete","Posicione o corpo de forma estável para dead bug. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:elevacao-de-joelhos-na-barra","Elevação de joelhos na barra","strength","peso_corporal","Peso corporal","core","Core","intermediario","barra fixa","Posicione o corpo de forma estável para elevação de joelhos na barra. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:elevacao-de-pernas-deitado","Elevação de pernas deitado","strength","peso_corporal","Peso corporal","core","Core","intermediario","colchonete","Posicione o corpo de forma estável para elevação de pernas deitado. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:elevacao-de-pernas-na-barra","Elevação de pernas na barra","strength","peso_corporal","Peso corporal","core","Core","avancado","barra fixa","Posicione o corpo de forma estável para elevação de pernas na barra. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna. Recomenda-se supervisão profissional até dominar a execução.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:farmer-walk","Farmer walk","strength","pesos_livres","Pesos livres","core","Core","intermediario","halteres ou kettlebells","Prepare o equipamento e assuma uma base estável. Execute farmer walk com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:hollow-body-hold","Hollow body hold","strength","peso_corporal","Peso corporal","core","Core","intermediario","colchonete","Posicione o corpo de forma estável para hollow body hold. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:pallof-press","Pallof press","strength","cabos","Cabos e polias","core","Core","iniciante","polia","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute pallof press sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:prancha-com-toque-nos-ombros","Prancha com toque nos ombros","strength","peso_corporal","Peso corporal","core","Core","intermediario","colchonete","Posicione o corpo de forma estável para prancha com toque nos ombros. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:prancha-frontal","Prancha frontal","strength","peso_corporal","Peso corporal","core","Core","iniciante","colchonete","Posicione o corpo de forma estável para prancha frontal. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:prancha-lateral","Prancha lateral","strength","peso_corporal","Peso corporal","core","Core","iniciante","colchonete","Posicione o corpo de forma estável para prancha lateral. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:rotacao-de-tronco-na-maquina","Rotação de tronco na máquina","strength","maquinas","Máquinas e aparelhos","core","Core","iniciante","máquina de rotação","Ajuste o equipamento ao seu corpo e selecione uma carga adequada. Estabilize o tronco, execute rotação de tronco na máquina na amplitude confortável e retorne lentamente, mantendo o controle durante todo o movimento.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:suitcase-carry-unilateral","Suitcase carry unilateral","strength","pesos_livres","Pesos livres","core","Core","intermediario","halter ou kettlebell","Prepare o equipamento e assuma uma base estável. Execute suitcase carry unilateral com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:wood-chop-alto-para-baixo","Wood chop alto para baixo","strength","cabos","Cabos e polias","core","Core","intermediario","polia","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute wood chop alto para baixo sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:wood-chop-baixo-para-alto","Wood chop baixo para alto","strength","cabos","Cabos e polias","core","Core","intermediario","polia","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute wood chop baixo para alto sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:barra-australiana","Barra australiana","strength","peso_corporal","Peso corporal","costas","Costas","iniciante","barra baixa","Posicione o corpo de forma estável para barra australiana. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:barra-fixa-neutra","Barra fixa neutra","strength","peso_corporal","Peso corporal","costas","Costas","intermediario","barra fixa","Posicione o corpo de forma estável para barra fixa neutra. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:barra-fixa-pronada","Barra fixa pronada","strength","peso_corporal","Peso corporal","costas","Costas","intermediario","barra fixa","Posicione o corpo de forma estável para barra fixa pronada. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:barra-fixa-supinada","Barra fixa supinada","strength","peso_corporal","Peso corporal","costas","Costas","intermediario","barra fixa","Posicione o corpo de forma estável para barra fixa supinada. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:extensao-lombar-no-banco-romano","Extensão lombar no banco romano","strength","peso_corporal","Peso corporal","costas","Costas","iniciante","banco romano","Posicione o corpo de forma estável para extensão lombar no banco romano. Ative o core, mantenha o alinhamento das articulações e execute em amplitude confortável, com ritmo controlado e respiração contínua.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:face-pull","Face pull","strength","cabos","Cabos e polias","costas","Costas","iniciante","polia alta|corda","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute face pull sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:levantamento-terra-convencional","Levantamento terra convencional","strength","pesos_livres","Pesos livres","costas","Costas","avancado","barra|anilhas","Prepare o equipamento e assuma uma base estável. Execute levantamento terra convencional com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna. Recomenda-se supervisão profissional até dominar a execução.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:levantamento-terra-sumo","Levantamento terra sumô","strength","pesos_livres","Pesos livres","costas","Costas","avancado","barra|anilhas","Prepare o equipamento e assuma uma base estável. Execute levantamento terra sumô com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna. Recomenda-se supervisão profissional até dominar a execução.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:pulldown-com-bracos-estendidos","Pulldown com braços estendidos","strength","cabos","Cabos e polias","costas","Costas","intermediario","polia alta|barra","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute pulldown com braços estendidos sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:puxada-alta-pegada-aberta","Puxada alta pegada aberta","strength","cabos","Cabos e polias","costas","Costas","iniciante","polia alta|barra","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute puxada alta pegada aberta sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:puxada-alta-pegada-neutra","Puxada alta pegada neutra","strength","cabos","Cabos e polias","costas","Costas","iniciante","polia alta|triângulo","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute puxada alta pegada neutra sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:puxada-alta-pegada-supinada","Puxada alta pegada supinada","strength","cabos","Cabos e polias","costas","Costas","intermediario","polia alta|barra","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute puxada alta pegada supinada sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:puxada-frontal-na-maquina","Puxada frontal na máquina","strength","maquinas","Máquinas e aparelhos","costas","Costas","iniciante","máquina de puxada","Ajuste o equipamento ao seu corpo e selecione uma carga adequada. Estabilize o tronco, execute puxada frontal na máquina na amplitude confortável e retorne lentamente, mantendo o controle durante todo o movimento.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:puxada-unilateral-no-cabo","Puxada unilateral no cabo","strength","cabos","Cabos e polias","costas","Costas","intermediario","polia alta","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute puxada unilateral no cabo sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-articulada","Remada articulada","strength","maquinas","Máquinas e aparelhos","costas","Costas","iniciante","máquina articulada","Ajuste o equipamento ao seu corpo e selecione uma carga adequada. Estabilize o tronco, execute remada articulada na amplitude confortável e retorne lentamente, mantendo o controle durante todo o movimento.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-baixa-com-barra-reta","Remada baixa com barra reta","strength","cabos","Cabos e polias","costas","Costas","intermediario","polia baixa|barra","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute remada baixa com barra reta sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-baixa-na-maquina","Remada baixa na máquina","strength","maquinas","Máquinas e aparelhos","costas","Costas","iniciante","máquina de remada","Ajuste o equipamento ao seu corpo e selecione uma carga adequada. Estabilize o tronco, execute remada baixa na máquina na amplitude confortável e retorne lentamente, mantendo o controle durante todo o movimento.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-baixa-no-cabo","Remada baixa no cabo","strength","cabos","Cabos e polias","costas","Costas","iniciante","polia baixa|triângulo","Ajuste a polia e o acessório indicados. Assuma uma base estável, mantenha o tronco firme e execute remada baixa no cabo sem usar impulso. Retorne de forma lenta, preservando a tensão do cabo.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-cavalinho","Remada cavalinho","strength","pesos_livres","Pesos livres","costas","Costas","intermediario","barra|suporte landmine","Prepare o equipamento e assuma uma base estável. Execute remada cavalinho com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-com-halteres-no-banco-inclinado","Remada com halteres no banco inclinado","strength","pesos_livres","Pesos livres","costas","Costas","iniciante","halteres|banco inclinado","Prepare o equipamento e assuma uma base estável. Execute remada com halteres no banco inclinado com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-curvada-com-barra","Remada curvada com barra","strength","pesos_livres","Pesos livres","costas","Costas","intermediario","barra","Prepare o equipamento e assuma uma base estável. Execute remada curvada com barra com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-pendlay","Remada Pendlay","strength","pesos_livres","Pesos livres","costas","Costas","avancado","barra","Prepare o equipamento e assuma uma base estável. Execute remada pendlay com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna. Recomenda-se supervisão profissional até dominar a execução.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
"fitos:remada-unilateral-com-halter","Remada unilateral com halter","strength","pesos_livres","Pesos livres","costas","Costas","iniciante","halter|banco","Prepare o equipamento e assuma uma base estável. Execute remada unilateral com halter com coluna neutra, articulações alinhadas e amplitude confortável. Controle a fase de retorno e não use impulso para completar a repetição.","Use técnica controlada, carga compatível e interrompa em caso de dor aguda, tontura ou perda de estabilidade. Evite prender a respiração e compensar com a coluna.","pt-BR","FITOS_CURATED_CATALOG_V1","true"
